fly_time:5.633, notolsr:0, recvcountgt:1492, recvcount:7899, z-index:0.5352
fly_time:5.6528, notolsr:0, recvcountgt:1492, recvcount:7899, z-index:0.5361
fly_time:5.6724, notolsr:0, recvcountgt:1493, recvcount:7900, z-index:0.5374
fly_time:5.692, notolsr:0, recvcountgt:1493, recvcount:7900, z-index:0.5382
fly_time:5.7124, notolsr:0, recvcountgt:1493, recvcount:7900, z-index:0.5382
fly_time:5.7334, notolsr:0, recvcountgt:1494, recvcount:7901, z-index:0.5389
fly_time:5.7523, notolsr:0, recvcountgt:1494, recvcount:7901, z-index:0.5396
fly_time:5.7731, notolsr:0, recvcountgt:1494, recvcount:7901, z-index:0.5403
fly_time:5.7933, notolsr:0, recvcountgt:1494, recvcount:7901, z-index:0.541
fly_time:5.8122, notolsr:0, recvcountgt:1494, recvcount:7901, z-index:0.5419
fly_time:5.8332, notolsr:0, recvcountgt:1495, recvcount:7903, z-index:0.5425
fly_time:5.8529, notolsr:0, recvcountgt:1495, recvcount:7903, z-index:0.5424
fly_time:5.8718, notolsr:0, recvcountgt:1495, recvcount:7903, z-index:0.5429
fly_time:5.893, notolsr:0, recvcountgt:1495, recvcount:7903, z-index:0.5424
fly_time:5.9125, notolsr:0, recvcountgt:1495, recvcount:7903, z-index:0.5428
fly_time:5.9336, notolsr:0, recvcountgt:1496, recvcount:7905, z-index:0.5423
fly_time:5.9528, notolsr:0, recvcountgt:1496, recvcount:7905, z-index:0.5425
fly_time:5.9733, notolsr:0, recvcountgt:1497, recvcount:7906, z-index:0.5427
fly_time:5.9926, notolsr:0, recvcountgt:1497, recvcount:7906, z-index:0.5426
fly_time:6.0129, notolsr:0, recvcountgt:1497, recvcount:7906, z-index:0.5429
fly_time:6.0337, notolsr:0, recvcountgt:1498, recvcount:7907, z-index:0.542
fly_time:6.0523, notolsr:0, recvcountgt:1498, recvcount:7907, z-index:0.5422
fly_time:6.073, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5423
fly_time:6.0923, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5425
fly_time:6.1128, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5444
fly_time:6.1331, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5449
fly_time:6.1532, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5491
fly_time:6.1731, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.55
fly_time:6.1926, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5509
fly_time:6.2129, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5512
fly_time:6.2333, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5521
fly_time:6.2528, notolsr:0, recvcountgt:1499, recvcount:7908, z-index:0.5527
fly_time:6.2733, notolsr:0, recvcountgt:1500, recvcount:7912, z-index:0.5534
fly_time:6.2941, notolsr:0, recvcountgt:1500, recvcount:7912, z-index:0.5545
fly_time:6.3135, notolsr:0, recvcountgt:1500, recvcount:7912, z-index:0.5551
fly_time:6.3335, notolsr:0, recvcountgt:1501, recvcount:7913, z-index:0.5542
fly_time:6.3533, notolsr:0, recvcountgt:1501, recvcount:7913, z-index:0.5545
fly_time:6.3739, notolsr:0, recvcountgt:1502, recvcount:7914, z-index:0.5555
fly_time:6.3926, notolsr:0, recvcountgt:1502, recvcount:7914, z-index:0.5557
